#;Фрагмент;Суперслово/словосочетание;Характер слова;Значение;Дополнительно
;Однажды весною, в час небывало жаркого заката, в Москве, на Патриарших прудах, появились два гражданина. Первый из них, одетый в летнюю серенькую пару, был маленького роста, упитан, лыс, свою приличную шляпу пирожком нес в руке, а на хорошо выбритом лице его помещались сверхъестественных размеров очки в черной роговой оправе. Второй ? плечистый, рыжеватый, вихрастый молодой человек в заломленной на затылок клетчатой кепке ? был в ковбойке, жеваных белых брюках и в черных тапочках.;весною, в час небывало жаркого заката;символ;"весна отдельно - символ начала перемен;                         необычность, намёк на экстраординарность происходящего";
;;в летнюю серенькую пару                            шляпу пирожком ;символы;канцелярист;
;;сверхъестественных размеров очки в черной роговой оправе;символ;важный человек;
;;вихрастый                                                                в заломленной на затылок кепке;символы;своевольный;
;Не только у будочки, но и во всей аллее, параллельной Малой Бронной улице, не оказалось ни одного человека. В тот час, когда уж, кажется, и сил не было дышать, когда солнце, раскалив Москву, в сухом тумане валилось куда-то за Садовое кольцо, ? никто не пришел под липы, никто не сел на скамейку, пуста была аллея.;сил не было дышать                                            раскалив Москву                                                      в сухом тумане;метафоры;жара;
;"? Нарзану нету, ? ответила женщина в будочке и почему-то обиделась.

? Пиво есть? ? сиплым голосом осведомился Бездомный.

? Пиво привезут к вечеру, ? ответила женщина.

? А что есть? ? спросил Берлиоз.

? Абрикосовая, только теплая, ? сказала женщина.

? Ну, давайте, давайте, давайте!..

Абрикосовая дала обильную желтую пену, и в воздухе запахло парикмахерской. Напившись, литераторы немедленно начали икать, расплатились и уселись на скамейке лицом к пруду и спиной к Бронной.";почему-то обиделась  /  сиплым голосом  /  привезут к вечеру  /   только теплая  /     дала обильную желтую пену  /  в воздухе запахло парикмахерской       ;символы *!!!;грустная комичность жизненных обстоятельств;*!!! скорей не символы в привычном понимании, без чёткого обозначения чего-либо, а как собрание карикатурных картин
;"Тут приключилась вторая странность, касающаяся одного Берлиоза. Он внезапно перестал икать, сердце его стукнуло и на мгновенье куда-то провалилось, потом вернулось, но с тупой иглой, засевшей в нем. Кроме того, Берлиоза охватил необоснованный, но столь сильный страх, что ему захотелось тотчас же бежать с Патриарших без оглядки. Берлиоз тоскливо оглянулся, не понимая, что его напугало. Он побледнел, вытер лоб платком, подумал: ""Что это со мной? Этого никогда не было… сердце шалит… я переутомился."; сердце стукнуло и на мгновенье провалилось                                       вернулось с тупой иглой, засевшей в нем                                         бежать без оглядки;метафоры;страх;
;И тут знойный воздух сгустился перед ним, и соткался из этого воздуха прозрачный гражданин престранного вида. На маленькой головке жокейский картузик, клетчатый кургузый воздушный же пиджачок… Гражданин ростом в сажень, но в плечах узок, худ неимоверно, и физиономия, прошу заметить, глумливая.;маленькой головке                                  жокейский картузик                                           кургузый воздушный пиджачок                                        худ неимоверно                                               физиономия глумливая                    ;символы;смехотворность;
;Тут ужас до того овладел Берлиозом, что он закрыл глаза. А когда он их открыл, увидел, что все кончилось, марево растворилось, клетчатый исчез, а заодно и тупая игла выскочила из сердца.;марево растворилось                                             тупая игла выскочила из сердца;символ;облегчение;
;"Надо заметить, что редактор был человеком начитанным и очень умело указывал в своей речи на древних историков, например, на знаменитого Филона Александрийского, на блестяще образованного Иосифа Флавия, никогда ни словом не упоминавших о существовании Иисуса. Обнаруживая солидную эрудицию, Михаил Александрович сообщил поэту, между прочим, и о том, что то место в 15-й книге, в главе 44-й знаменитых Тацитовых ""Анналов"", где говорится о казни Иисуса, ? есть не что иное, как позднейшая поддельная вставка.";позднейшая поддельная вставка;символ;фальшь;
;Поэт, для которого все, сообщаемое редактором, являлось новостью, внимательно слушал Михаила Александровича, Поэт, для которого все, сообщаемое редактором, являлось новостью, внимательно слушал Михаила Александровича, уставив на него свои бойкие зеленые глаза, и лишь изредка икал, шепотом ругая абрикосовую воду.;уставив бойкие глаза;символ;внимание;
;;изредка икал, шепотом ругая;аллегория;скрытое недовольство;
;Высокий тенор Берлиоза разносился в пустынной аллее, и по мере того, как Михаил Александрович забирался в дебри, в которые может забираться, не рискуя свернуть себе шею, лишь очень образованный человек, ? поэт узнавал все больше и больше интересного и полезного и про египетского Озириса, благостного бога и сына Неба и Земли, и про финикийского бога Фаммуза, и про Мардука, и даже про менее известного грозного бога Вицлипуцли, которого весьма почитали некогда ацтеки в Мексике.;Высокий тенор ... в пустынной аллее ;символ;"""глас пророка""";
;; забирался в дебри                                                 не рискуя свернуть себе шею;аллегории;сложность обсуждаемого;
;Раньше всего: ни на какую ногу описываемый не хромал, и росту был не маленького и не громадного, а просто высокого. Что касается зубов, то с левой стороны у него были платиновые коронки, а с правой ? золотые. Он был в дорогом сером костюме, в заграничных, в цвет костюма, туфлях. Серый берет он лихо заломил на ухо, под мышкой нес трость с черным набалдашником в виде головы пуделя. По виду ? лет сорока с лишним. Рот какой-то кривой. Выбрит гладко. Брюнет. Правый глаз черный, левый почему-то зеленый. Брови черные, но одна выше другой. Словом ? иностранец.;берет лихо заломил на ухо;символ;своеволие, развязность;
;;трость с черным набалдашником в виде головы пуделя;символ;атрибут фокусника, аристократа или актёра;
;;Рот какой-то кривой                       Правый глаз черный, левый почему-то зеленый                                         Брови одна выше другой;символ;подвох;
;Он остановил свой взор на верхних этажах, ослепительно отражающих в стеклах изломанное и навсегда уходящее от Михаила Александровича солнце, затем перевел его вниз, где стекла начали предвечерне темнеть, чему-то снисходительно усмехнулся, прищурился, руки положил на набалдашник, а подбородок на руки.;изломанное и навсегда уходящее солнце;символ;страшное окончание;
;Тут Бездомный сделал попытку прекратить замучившую его икоту, задержав дыхание, отчего икнул мучительнее и громче, и в этот же момент Берлиоз прервал свою речь, потому что иностранец вдруг поднялся и направился к писателям.;икнул мучительнее и громче;символ;продолжение сложностей;
;"? Извините меня, пожалуйста, ? заговорил подошедший с иностранным акцентом, но не коверкая слов, ? что я, не будучи знаком, позволяю себе…

но предмет вашей ученой беседы настолько интересен, что…

 Тут он вежливо снял берет, и друзьям ничего не оставалось, как приподняться и раскланяться.";не коверкая слов;символ;честность, прямолинейность;
;; вежливо снял берет                                       приподняться и раскланяться;символы;показательная учтивость;
;"? Разрешите мне присесть? ? вежливо попросил иностранец, и приятели как-то невольно раздвинулись; иностранец ловко уселся между ними и тотчас вступил в разговор.";невольно раздвинулись;символ;лёгкое включение;
;? Изумительно! ? воскликнул непрошеный собеседник и, почему-то воровски оглянувшись и приглушив свой низкий голос, сказал: ? Простите мою навязчивость, но я так понял, что вы, помимо всего прочего, еще и не верите в бога? ? он сделал испуганные глаза и прибавил: ? Клянусь, я никому не скажу.;воровски оглянувшись;символ;хитрость, близкое решительное действие;
;"Иностранец откинулся на спинку скамейки и спросил, даже привизгнув от любопытства:

? Вы ? атеисты?!";привизгнув от любопытства;символ;радость, вовлечённость;
;"? Ох, какая прелесть! ? вскричал удивительный иностранец и завертел головой, глядя то на одного, то на другого литератора.

? В нашей стране атеизм никого не удивляет, ? дипломатически вежливо сказал Берлиоз, ? большинство нашего населения сознательно и давно перестало верить сказкам о боге.

Тут иностранец отколол такую штуку: встал и пожал изумленному редактору руку, произнеся при этом слова:";Ох, какая прелесть!;аллегория;радость, вовлечённость;
;;отколол штуку;метафора;неожиданность действия;
;"""Где это он так наловчился говорить по-русски, вот что интересно!"" ? и опять нахмурился.

? Но, позвольте вас спросить, ? после тревожного раздумья спросил заграничный гость, ? как же быть с доказательствами бытия божия, коих, как известно, существует ровно пять?";наловчился говорить;метафора;ожидание подвоха;
;? тут иностранец сладко усмехнулся, как будто мысль о саркоме легкого доставила ему удовольствие, ? да, саркома, ? жмурясь, как кот, повторил он звучное слово, ? и вот ваше управление закончилось! Ничья судьба, кроме своей собственной, вас более не интересует. Родные вам начинают лгать, вы, чуя неладное, бросаетесь к ученым врачам, затем к шарлатанам, а бывает, и к гадалкам. Как первое и второе, так и третье ? совершенно бессмысленно, вы сами понимаете. И все это кончается трагически: тот, кто еще недавно полагал, что он чем-то управляет, оказывается вдруг лежащим неподвижно в деревянном ящике, и окружающие, понимая, что толку от лежащего нет более никакого, сжигают его в печи. А бывает и еще хуже: только что человек соберется съездить в Кисловодск, ? тут иностранец прищурился на Берлиоза, ? пустяковое, казалось бы, дело, но и этого совершить не может, потому что неизвестно почему вдруг возьмет ? поскользнется и попадет под трамвай!;чуя неладное;метафора;беспокойство;
;"? Вы хотите курить, как я вижу? ? неожиданно обратился к Бездомному неизвестный, ? вы какие предпочитаете?

? А у вас разные, что ли, есть? ? мрачно спросил поэт, у которого папиросы кончились.

? Какие предпочитаете? ? повторил неизвестный.

? Ну, ""Нашу марку"", ? злобно ответил Бездомный.";злобно ответил;символ;назревающий конфликт;
;"И редактора и поэта не столько поразило то, что нашлась в портсигаре именно ""Наша марка"", сколько сам портсигар. Он был громадных размеров, червонного золота, и на крышке его при открывании сверкнул синим и белым огнем бриллиантовый треугольник.";сверкнул синим и белым огнем бриллиантовый треугольник;символ;символ подозрительного символа  =);
;"? Ну, здесь уж есть преувеличение. Сегодняшний вечер мне известен более или менее точно. Само собой разумеется, что, если на Бронной мне свалится на голову кирпич…

? Кирпич ни с того ни с сего, ? внушительно перебил неизвестный, ? никому и никогда на голову не свалится. В частности же, уверяю вас, вам он ни в коем случае не угрожает. Вы умрете другой смертью.";свалится на голову кирпич;символ;неожиданность;
;"Бездомный дико и злобно вытаращил глаза на развязного неизвестного, а Берлиоз спросил, криво усмехнувшись:

? А кто именно? Враги? Интервенты?"; дико и злобно вытаращил глаза;символ;злость и ошарашенность;
;? Потому, ? ответил иностранец и прищуренными глазами поглядел в небо, где, предчувствуя вечернюю прохладу, бесшумно чертили черные птицы, ? что Аннушка уже купила подсолнечное масло, и не только купила, но даже разлила. Так что заседание не состоится.;бесшумно чертили черные птицы;символ;"узор сюжета, ""узор судьбы""";
;? Бывал, бывал и не раз! ? вскричал он, смеясь, но не сводя несмеющегося глаза с поэта, ? где я только не бывал! Жаль только, что я не удосужился спросить у профессора, что такое шизофрения. Так что вы уж сами узнайте это у него, Иван Николаевич!;смеясь, но не сводя несмеющегося глаза;символ;серьёзность происходящего;
;? Я извиняюсь, ? сказал он, и лицо его потемнело, ? вы не можете подождать минутку? Я хочу товарищу пару слов сказать.;лицо его потемнело;метафора;злое намерение;
;"? Уж ты мне верь, ? засипел ему в ухо поэт, ? он дурачком прикидывается, чтобы выспросить кое-что. Ты слышишь, как он по-русски говорит, ? поэт говорил и косился, следя, чтобы неизвестный не удрал, ? идем, задержим его, а то уйдет…

И поэт за руку потянул Берлиоза к скамейке.";говорил и косился;символ;опасение;
;"? Я ? историк, ? подтвердил ученый и добавил ни к селу ни к городу:

? Сегодня вечером на Патриарших прудах будет интересная история!";ни к селу ни к городу;фразеологизм;неожиданность;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
