#;Фрагмент;Суперслово/словосочетание;Характер слова;Значение;Дополнительно
;"Иван опустил ноги с постели и всмотрелся. С балкона осторожно заглядывал в комнату бритый, темноволосый, с острым носом, встревоженными глазами и со свешивающимся на лоб клоком волос человек примерно лет тридцати восьми.

Убедившись в том, что Иван один, и прислушавшись, таинственный посетитель осмелел и вошел в комнату. Тут увидел Иван, что пришедший одет в больничное. На нем было белье, туфли на босу ногу, на плечи наброшен бурый халат.";с встревоженными глазами                                       со свешивающимся на лоб клоком волос                                                                        туфли на босу ногу                                              бурый халат;аллегории;взвинченность, необустроенность;
;"? Обещаю и клянусь! ? торжественно произнес Иван.

Клятву скрепили рукопожатием, и тут из коридора донеслись мягкие шаги и голоса.

? Тсс, ? шепнул гость и, выскочив на балкон, закрыл за собою решетку.";скрепили рукопожатием                                донеслись мягкие шаги и голоса;символы;подтверждение контакта, положено начало приятной обстановке;
;"Описание ужасной смерти Берлиоза слушающий сопроводил загадочным замечанием, причем глаза его вспыхнули злобой:

? Об одном жалею, что на месте этого Берлиоза не было критика Латунского или литератора Мстислава Лавровича, ? и исступленно, но беззвучно вскричал: ? Дальше!";глаза его вспыхнули злобой;метафора;жажда мести;
;Кот, плативший кондукторше, чрезвычайно развеселил гостя, и он давился от тихого смеха, глядя, как взволнованный успехом своего повествования Иван тихо прыгал на корточках, изображая кота с гривенником возле усов.;давился от тихого смеха;метафора;хорошее настроение и наличие самообладания;
;? Лишь только вы начали его описывать, ? продолжал гость, ? я уже стал догадываться, с кем вы вчера имели удовольствие беседовать. И, право, я удивляюсь Берлиозу! Ну вы, конечно, человек девственный, ? тут гость опять извинился, ? но тот, сколько я о нем слышал, все-таки хоть что-то читал!;человек девственный;метафора;несведомлённость;
;Иван почему-то страшнейшим образом сконфузился и с пылающим лицом что-то начал бормотать про какую-то поездку в санаторий в Ялту…;страшнейшим образом сконфузился                                      с пылающим лицом;метафоры;смущение;
;? Да ведь он тут черт знает чего натворит! Как-нибудь его надо изловить? ? не совсем уверенно, но все же поднял голову в новом Иване прежний, еще не окончательно добитый Иван.;поднял голову                                       еще не окончательно добитый Иван;метафоры;наличие адекватности мышления;
;"? Я ? мастер, ? он сделался суров и вынул из кармана халата совершенно засаленную черную шапочку с вышитой на ней желтым шелком буквой ""М"". Он надел эту шапочку и показался Ивану в профиль и в фас, чтобы доказать, что он ? мастер. ? Она своими руками сшила ее мне, ? таинственно добавил он.";засаленную черную шапочку                         в профиль и в фас;символ;важный символический объект, ассоциация с религиозным головным убором;
;? Ах, это был золотой век, ? блестя глазами, шептал рассказчик, ? совершенно отдельная квартирка, и еще передняя, и в ней раковина с водой, ? почему-то особенно горделиво подчеркнул он, ? маленькие оконца над самым тротуарчиком, ведущим от калитки. Напротив, в четырех шагах, под забором, сирень, липа и клен. Ах, ах, ах! Зимою я очень редко видел в оконце чьи-нибудь черные ноги и слышал хруст снега под ними. И в печке у меня вечно пылал огонь! Но внезапно наступила весна, и сквозь мутные стекла увидел я сперва голые, а затем одевающиеся в зелень кусты сирени. И вот тогда-то, прошлою весной, случилось нечто гораздо более восхитительное, чем получение ста тысяч рублей. А это, согласитесь, громадная сумма денег!;золотой век;аллегория;прекрасный период жизни;
;;в печке у меня вечно пылал огонь;аллегория;теплота и вдохновение;
;? Она несла в руках отвратительные, тревожные желтые цветы. Черт их знает, как их зовут, но они первые почему-то появляются в Москве. И эти цветы очень отчетливо выделялись на черном ее весеннем пальто. Она несла желтые цветы! Нехороший цвет. Она повернула с Тверской в переулок и тут обернулась. Ну, Тверскую вы знаете? По Тверской шли тысячи людей, но я вам ручаюсь, что увидела она меня одного и поглядела не то что тревожно, а даже как будто болезненно. И меня поразила не столько ее красота, сколько необыкновенное, никем не виданное одиночество в глазах!;отвратительные, тревожные желтые цветы                                     необыкновенное, никем не виданное одиночество в глазах;метафоры;тревожная притягательность;
;Повинуясь этому желтому знаку, я тоже свернул в переулок и пошел по ее следам. Мы шли по кривому, скучному переулку безмолвно, я по одной стороне, а она по другой. И не было, вообразите, в переулке ни души. Я мучился, потому что мне показалось, что с нею необходимо говорить, и тревожился, что я не вымолвлю ни одного слова, а она уйдет, и я никогда ее более не увижу…; по кривому, скучному переулку                                      в переулке ни души                                                не вымолвлю ни одного слова;метафоры;вопиющее чувство пустоты, предваряющее знакомство;
;"Я отчетливо помню, как прозвучал ее голос, низкий довольно-таки, но со срывами, и, как это ни глупо, показалось, что эхо ударило в переулке и отразилось от желтой грязной стены. Я быстро перешел на ее сторону и, подходя к ней, ответил:

? Нет.";низкий, но со срывами                                                эхо отразилось от желтой грязной стены;аллегории;тревожность;
;"? Дальше? ? переспросил гость, ? что же, дальше вы могли бы и сами угадать. ? Он вдруг вытер неожиданную слезу правым рукавом и продолжал: ? Любовь выскочила перед нами, как из-под земли выскакивает убийца в переулке, и поразила нас сразу обоих!

Так поражает молния, так поражает финский нож!";"Любовь как убийца в переулке
Так поражает молния, так поражает финский нож!";аллегории;неотвратимая сила;
;Мы разговаривали так, как будто расстались вчера, как будто знали друг друга много лет. На другой день мы сговорились встретиться там же, на Москве-реке, и встретились. Майское солнце светило нам. И скоро, скоро стала эта женщина моею тайною женой.;будто расстались вчера                          будто знали друг друга много лет;аллегории;ощущение дежавю, судьбы, предопределённости;
;Она приходила ко мне каждый день, а ждать ее я начинал с утра. Ожидание это выражалось в том, что я переставлял на столе предметы. За десять минут я садился к оконцу и начинал прислушиваться, не стукнет ли ветхая калитка. И как курьезно: до встречи моей с нею в наш дворик мало кто приходил, просто сказать, никто не приходил, а теперь мне казалось, что весь город устремился в него. Стукнет калитка, стукнет сердце, и, вообразите, на уровне моего лица за оконцем обязательно чьи-нибудь грязные сапоги. Точильщик. Ну, кому нужен точильщик в нашем доме? Что точить? Какие ножи?;Стукнет калитка, стукнет сердце;аллегория;тревожность;
;Ивану стало известным, что мастер и незнакомка полюбили друг друга так крепко, что стали совершенно неразлучны. Иван представлял себе ясно уже и две комнаты в подвале особнячка, в которых были всегда сумерки из-за сирени и забора. Красную потертую мебель, бюро, на нем часы, звеневшие каждые полчаса, и книги, книги от крашеного пола до закопченного потолка, и печку.;сумерки из-за сирени и забора                                      Красную потертую мебель                               часы, звеневшие каждые полчаса                                                  до закопченного потолка;аллегории;тревожность, необустроенность;
